T1,T2,T3,T4
96.9837,79.0,959.0,14.4
96.3344,79.0,959.0,14.4
96.67419,79.0,959.0,14.4
97.4068,79.0,959.0,14.4
97.604,79.0,959.0,14.4
99.5204,79.0,959.0,14.4
100.0998,79.0,959.0,14.4
100.8912,79.0,959.0,14.4
100.8836,79.0,959.0,14.4
101.6584,76.0,959.2,14.9
101.5783,76.0,959.2,14.9
100.4798,76.0,959.2,14.9
100.1916,76.0,959.2,14.9
99.8017,76.0,959.2,14.9
99.3258,76.0,959.2,14.9
100.9686,76.0,959.2,14.9
100.5668,76.0,959.2,14.9
98.69279,76.0,959.2,14.9
99.0172,76.0,959.2,14.9
98.78841,72.0,959.1,15.1
98.1819,72.0,959.1,15.1
98.514,72.0,959.1,15.1
98.1595,72.0,959.1,15.1
97.846,72.0,959.1,15.1
97.771,72.0,959.1,15.1
96.1231,72.0,959.1,15.1
96.932,72.0,959.1,15.1
97.9724,72.0,959.1,15.1
98.0772,72.0,959.1,15.1
99.0246,71.0,959.1,15.5
100.0511,71.0,959.1,15.5
101.7991,71.0,959.1,15.5
102.2105,71.0,959.1,15.5
102.0835,71.0,959.1,15.5
101.1904,71.0,959.1,15.5
101.9455,71.0,959.1,15.5
99.3254,71.0,959.1,15.5
100.1921,71.0,959.1,15.5
100.5604,71.0,959.1,15.5
97.9431,64.0,959.1,15.8
95.7959,64.0,959.1,15.8
96.445,64.0,959.1,15.8
97.6912,64.0,959.1,15.8
99.8843,64.0,959.1,15.8
101.5428,64.0,959.1,15.8
102.9617,64.0,959.1,15.8
102.8368,64.0,959.1,15.8
101.5065,64.0,959.1,15.8
100.0393,64.0,959.1,15.8
99.4387,61.0,959.0,16.5
99.8373,61.0,959.0,16.5
100.5376,61.0,959.0,16.5
98.4288,61.0,959.0,16.5
98.26421,61.0,959.0,16.5
96.0008,61.0,959.0,16.5
97.0639,61.0,959.0,16.5
98.4151,61.0,959.0,16.5
98.9464,61.0,959.0,16.5
98.8709,61.0,959.0,16.5
98.8345,60.0,959.0,16.6
98.6198,60.0,959.0,16.6
98.8214,60.0,959.0,16.6
97.458,60.0,959.0,16.6
97.9006,60.0,959.0,16.6
96.9478,60.0,959.0,16.6
95.15231,60.0,959.0,16.6
95.7054,60.0,959.0,16.6
97.07249,60.0,959.0,16.6
97.1061,60.0,959.0,16.6
98.1069,59.0,959.0,17.0
99.4338,59.0,959.0,17.0
99.3651,59.0,959.0,17.0
98.82681,59.0,959.0,17.0
97.9454,59.0,959.0,17.0
98.25401,59.0,959.0,17.0
98.6396,59.0,959.0,17.0
97.4567,59.0,959.0,17.0
96.0274,59.0,959.0,17.0
95.2673,59.0,959.0,17.0
96.2125,56.0,958.9,17.5
94.3802,56.0,958.9,17.5
95.7747,56.0,958.9,17.5
97.7657,56.0,958.9,17.5
96.749,56.0,958.9,17.5
96.2197,56.0,958.9,17.5
97.5864,56.0,958.9,17.5
97.5497,56.0,958.9,17.5
96.8282,56.0,958.9,17.5
98.2523,56.0,958.9,17.5
96.6092,57.0,958.9,17.5
96.8971,57.0,958.9,17.5
97.5135,57.0,958.9,17.5
97.1922,57.0,958.9,17.5
96.9901,57.0,958.9,17.5
98.8208,57.0,958.9,17.5
99.8959,57.0,958.9,17.5
100.5322,57.0,958.9,17.5
100.2502,57.0,958.9,17.5
100.2883,57.0,958.9,17.5
98.9296,57.0,958.8,18.0
98.6024,57.0,958.8,18.0
97.9273,57.0,958.8,18.0
99.7983,57.0,958.8,18.0
99.6276,57.0,958.8,18.0
99.1862,57.0,958.8,18.0
101.0493,57.0,958.8,18.0
102.2596,57.0,958.8,18.0
103.3928,57.0,958.8,18.0
102.7187,57.0,958.8,18.0
103.3476,57.0,958.6,18.1
102.4184,57.0,958.6,18.1
102.0377,57.0,958.6,18.1
101.8072,57.0,958.6,18.1
100.8304,57.0,958.6,18.1
99.9304,57.0,958.6,18.1
101.0773,57.0,958.6,18.1
101.5681,57.0,958.6,18.1
101.7145,57.0,958.6,18.1
102.7289,57.0,958.6,18.1
102.7171,58.0,958.6,17.9
102.3369,58.0,958.6,17.9
100.2376,58.0,958.6,17.9
97.5392,58.0,958.6,17.9
97.5682,58.0,958.6,17.9
97.2137,58.0,958.6,17.9
96.4493,58.0,958.6,17.9
97.9388,58.0,958.6,17.9
99.1967,58.0,958.6,17.9
99.6827,58.0,958.6,17.9
98.9173,60.0,958.7,18.1
99.1426,60.0,958.7,18.1
99.3398,60.0,958.7,18.1
97.2017,60.0,958.7,18.1
96.8987,60.0,958.7,18.1
97.08459,60.0,958.7,18.1
98.3558,60.0,958.7,18.1
99.6282,60.0,958.7,18.1
101.0912,60.0,958.7,18.1
101.6511,60.0,958.7,18.1
101.5429,60.0,958.6,18.2
100.0324,60.0,958.6,18.2
97.8316,60.0,958.6,18.2
98.45309,60.0,958.6,18.2
99.964,60.0,958.6,18.2
98.6054,60.0,958.6,18.2
98.675,60.0,958.6,18.2
99.8025,60.0,958.6,18.2
99.2676,60.0,958.6,18.2
