Date,gamma
1,92.8536
2,91.8084
3,93.3221
4,91.7464
5,93.4146
6,96.6092
7,96.2741
8,96.2696
9,96.021
10,96.3468
11,96.4279
12,96.5498
13,97.4804
14,95.219
15,94.3046
16,95.1372
17,96.1069
18,95.923
19,96.9499
20,98.7833
21,100.112
22,99.07961
23,98.8685
24,97.947
25,99.4833
26,97.8572
27,97.9067
28,97.6336
29,98.5037
30,98.3754
31,99.039
32,98.9056
33,97.6579
34,95.6839
35,96.5341
36,97.4546
37,98.0482
38,97.0224
39,98.2621
40,96.3586
41,96.2975
42,97.5034
43,96.23161
44,94.67741
45,97.2319
46,97.4471
47,96.8917
48,96.2887
49,98.1817
50,98.8579
51,97.0149
52,95.9841
53,95.2582
54,96.7063
55,96.06889
56,95.8434
57,96.589
58,96.2261
59,95.7063
60,94.492
61,94.4102
62,94.8163
63,94.9914
64,93.5954
65,93.1503
66,91.7338
67,91.8064
68,92.4095
69,92.5998
70,92.7943
71,93.5093
72,91.586
73,92.067
74,91.407
75,93.4261
76,94.9509
77,96.092
78,97.2333
79,99.9192
80,100.3917
81,98.9651
82,96.8431
83,98.47729
84,100.0743
85,102.3247
86,101.4899
87,101.0161
88,101.2778
89,102.3779
90,101.3544
91,101.8968
92,100.8179
93,100.4677
94,98.2917
95,97.7072
96,97.87099
97,100.1465
98,98.7569
99,99.4644
100,97.8446
101,96.9438
102,95.9297
103,95.8966
104,97.0001
105,96.2169
106,95.7122
107,95.9465
108,95.2386
109,97.0682
110,98.7686
111,97.5397
112,99.6795
113,100.1032
114,100.6375
115,100.6214
116,98.7571
117,98.5131
118,97.0155
119,93.718
120,94.5185
121,95.28529
122,95.1785
123,94.181
124,94.31281
125,94.97781
126,96.16
127,96.1741
128,97.3051
129,97.57159
130,98.8086
131,97.2454
132,97.9398
133,99.6157
134,100.1834
135,99.6648
136,99.5267
137,98.6411
138,99.3128
139,98.6951
140,96.8768
141,97.8302
142,98.87109
143,99.5813
144,101.1573
145,99.1178
146,100.1281
147,100.0053
148,99.3473
149,99.1712
150,101.2419
151,98.3174
152,97.7617
153,97.5145
154,96.243
155,96.4407
156,97.4847
157,96.8304
158,97.1333
159,97.2818
160,97.1726
161,97.2859
162,98.0978
163,98.5991
164,97.4818
165,96.61
166,94.9931
167,95.6405
168,96.73351
169,97.4539
170,96.1955
171,97.7579
172,97.84019
173,97.8976
174,97.89861
175,97.4549
176,97.051
177,96.5057
178,100.5126
179,102.2704
180,101.7719
181,101.4247
182,99.1825
183,98.7339
184,96.74371
185,98.6857
186,98.8941
187,98.2977
188,99.5702
189,101.7009
190,100.9785
191,100.9113
192,101.775
193,98.793
194,98.1732
195,98.6264
196,96.6206
197,95.6529
198,94.4567
199,95.9024
200,98.3273
201,98.4284
202,96.9328
203,96.53239
204,97.3201
205,96.81499
206,97.0488
207,97.6422
208,98.5862
209,98.9185
210,98.03059
211,97.69839
212,97.8715
213,97.05051
214,97.3471
215,95.7857
216,97.9322
217,100.6119
218,100.5043
219,98.6544
220,97.5043
221,95.8283
222,95.5725
223,95.2271
224,95.3156
225,92.4258
226,96.2187
227,94.9093
228,96.2169
229,95.9117
230,98.23051
231,98.1111
232,98.6418
233,98.006
234,98.62189
235,97.0911
236,97.1433
237,97.2241
238,98.0648
239,99.9094
240,99.6431
241,97.7751
242,98.0186
243,96.06371
244,97.6431
245,97.2337
246,97.6407
247,98.9533
248,99.53419
249,98.4902
250,97.2295
251,95.2337
252,94.6511
253,96.1241
254,96.462
255,99.3917
256,99.2568
257,97.7267
258,97.5199
259,97.8829
260,98.4292
261,97.564
262,96.7856
263,95.455
264,94.325
265,96.0214
266,96.4024
267,94.73911
268,92.5599
269,93.2787
270,92.7963
271,94.5461
272,94.6041
273,95.7165
274,94.6529
275,94.78999
276,96.6212
277,96.6653
278,95.1263
279,94.4614
280,94.1359
281,93.2609
282,94.2336
283,95.6453
284,95.9466
285,95.7467
286,93.9918
287,92.4264
288,93.31081
289,93.3984
290,93.3519
291,93.1647
292,94.1836
293,95.2692
294,93.0535
295,93.1282
296,95.3352
297,94.4593
298,93.53909
299,93.8665
300,94.49149
301,94.162
302,94.3225
303,96.4092
304,95.837
305,95.5545
306,95.0121
307,94.6271
308,95.8153
309,96.49039
310,97.6112
311,95.4107
312,96.06219
313,97.7475
314,97.15981
315,97.77911
316,96.6552
317,96.8344
318,96.4905
319,96.4688
320,96.3974
321,96.3866
322,98.0488
323,96.1421
324,98.3754
325,96.93259
326,95.6949
327,94.3692
328,92.7342
329,92.1266
330,91.726
331,92.9652
332,93.3202
333,93.5902
334,93.3832
335,95.0722
336,94.6431
337,96.945
338,96.8072
339,94.0817
340,94.8265
341,95.6892
342,96.985
343,97.7123
344,96.939
345,97.4664
346,97.3871
347,97.3694
348,95.6882
349,94.5406
350,95.95129
351,95.7691
352,95.9412
353,96.0633
354,95.2007
355,95.925
356,96.53139
357,96.5215
358,96.1964
359,96.6799
360,97.1632
361,97.8044
362,97.0776
363,96.7174
364,97.08131
365,95.6782
366,95.5054
367,96.4853
368,96.68491
369,96.1301
370,95.228
371,93.6569
372,95.0892
373,94.749
374,96.0764
375,94.80659
376,94.3981
377,94.47369
378,93.9993
379,92.9992
380,93.8361
381,92.5604
382,95.0771
383,95.6522
384,94.2088
385,94.679
386,93.542
387,93.8119
388,94.4352
389,94.9748
390,93.3119
391,93.8447
392,92.20741
393,90.8983
394,90.4586
395,92.8176
396,94.1142
397,94.6594
398,94.6993
399,94.5672
400,92.6769
401,93.3278
402,94.6539
403,95.5308
404,95.3098
405,93.798
406,93.0928
407,94.2426
408,94.5667
409,95.2949
410,95.4606
411,94.6215
412,96.8436
413,99.0147
414,100.6952
415,99.3767
416,99.0282
417,98.9394
418,97.7498
419,96.5722
420,97.26859
421,96.66331
422,96.3058
423,95.9084
424,96.1409
425,97.5895
426,97.3913
427,97.8882
428,97.6903
429,97.2865
430,97.475
431,97.6208
432,98.6243
433,100.2463
434,102.008
435,101.6603
436,99.7411
437,97.4388
438,97.7478
439,96.9407
440,97.3153
441,95.9699
442,97.1298
443,99.194
444,98.47591
445,100.2424
446,99.5196
447,97.8024
448,97.8937
449,96.8881
450,96.3387
451,97.30579
452,96.9217
453,96.4067
454,95.5535
455,94.7899
456,95.74651
457,96.533
458,97.9407
459,97.2655
460,95.89301
461,96.5493
462,95.1055
463,94.3723
464,95.2066
465,96.4014
466,97.3516
467,98.9795
468,96.78091
469,97.81281
470,96.3123
471,97.56931
472,97.23109
473,96.4367
474,97.3989
475,97.3293
476,96.65189
477,95.0592
478,96.9085
479,96.4898
480,98.50359
481,99.1058
482,98.1748
483,96.8961
484,96.0064
485,96.20589
486,96.9739
487,95.6072
488,94.4026
489,94.5781
490,94.9395
491,94.7861
492,95.6655
493,96.55
494,95.7468
495,97.9777
496,97.80299
497,96.6289
498,94.9978
499,94.924
500,95.0332
501,96.0982
502,98.0708
503,99.7001
504,98.164
505,97.2948
506,97.2531
507,97.0145
508,96.8219
509,96.7929
510,94.825
511,94.9403
512,93.96609
513,91.9547
514,94.1507
515,92.4517
516,93.2582
517,92.8772
518,94.05341
519,96.07339
520,97.9614
521,96.699
522,97.7755
523,98.3902
524,97.6414
525,96.4306
526,96.2702
527,95.2244
528,94.6606
529,95.6408
530,96.96819
531,97.9352
532,97.0906
533,95.8865
534,98.2803
535,97.37189
536,97.1944
537,97.4453
538,94.9959
539,95.7389
540,97.4687
541,96.31689
542,96.8131
543,97.069
544,97.0217
545,97.3182
546,97.0449
547,99.278
548,99.7873
549,97.305
550,97.9583
551,95.4177
552,98.1159
553,98.599
554,97.0791
555,97.0517
556,95.34911
557,95.4157
558,95.077
559,96.5652
560,96.1295
561,95.9203
562,96.75581
563,96.1051
564,98.3223
565,98.1921
566,98.4178
567,99.2626
568,96.36
569,96.596
570,97.631
571,96.519
572,97.3111
573,99.24741
574,99.2453
575,98.1271
576,98.7923
577,99.0839
578,99.06651
579,99.4864
580,97.2933
581,96.4447
582,96.8919
583,96.2941
584,97.1422
585,97.9401
586,98.4795
587,99.9493
588,99.2169
589,99.3445
590,99.7547
591,100.0657
592,101.3219
593,99.1176
594,98.5467
595,99.2678
596,98.0625
597,98.8071
598,98.3145
599,98.7379
600,100.3126
601,98.8265
602,100.1382
603,98.5117
604,96.5696
605,95.6589
606,98.3681
607,98.6653
608,98.9274
609,97.9753
610,96.2071
611,96.44749
612,96.41821
613,97.1767
614,96.37811
615,95.10439
616,95.0462
617,92.6981
618,93.0888
619,93.1656
620,93.3096
621,95.4246
622,96.2049
623,96.1646
624,94.27219
625,94.8001
626,95.8454
627,95.527
628,95.7152
629,97.16241
630,97.7915
631,98.7182
632,100.2359
633,100.2952
634,100.4311
635,99.4937
636,97.5924
637,98.85899
638,97.6584
639,96.6793
640,95.5107
641,96.6788
642,95.7288
643,94.8996
644,95.6329
645,97.0557
646,96.9775
647,96.968
648,96.1551
649,97.0312
650,97.0907
651,96.7579
652,97.521
653,97.873
654,97.6496
655,98.59991
656,98.3568
657,97.4391
658,98.4757
659,97.4627
660,97.8223
661,95.7277
662,95.7122
663,97.837
664,97.0698
665,97.1542
666,97.7116
667,96.3239
668,95.5074
669,94.5651
670,94.5467
671,96.9718
672,97.33379
673,96.1395
674,94.0479
675,93.3289
676,93.396
677,94.2653
678,94.8146
679,95.6975
680,96.0042
681,95.33459
682,95.87399
683,98.4471
684,97.15549
685,98.5651
686,101.0038
687,99.0254
688,99.535
689,97.4925
690,97.8867
691,98.1275
692,97.0096
693,98.3654
694,98.561
695,99.4266
696,100.3485
697,97.8844
698,97.0227
699,95.2385
700,93.8642
701,95.8833
702,94.8596
703,94.8301
704,94.7166
705,95.0457
706,93.8298
707,92.7604
